English,Finnish
Åland Islands,Ahvenanmaa
South Karelia,Etelä-Karjala
Southern Ostrobothnia,Etelä-Pohjanmaa
Southern Savonia,Etelä-Savo
Kainuu,Kainuu
Tavastia Proper,Kanta-Häme
Central Ostrobothnia,Keski-Pohjanmaa
Central Finland,Keski-Suomi
Kymenlaakso,Kymenlaakso
Lapland,Lappi
Pirkanmaa,Pirkanmaa
Ostrobothnia,Pohjanmaa
North Karelia,Pohjois-Karjala
Northern Ostrobotnia,Pohjois-Pohjanmaa
Northern Savonia,Pohjois-Savo
Päijänne Tavastia,Päijät-Häme
Satakunta,Satakunta
Uusimaa,Uusimaa
Finland Proper,Varsinais-Suomi
